name,ind_pets,size,ind_apartment,size_code,experience_level,disponibility_level
Herringbone,1,small,1,2,Amateur,Medium
Bella palm,1,small,1,2,Experienced,High
Fabian Aralia,1,medium,1,1,Begginer,Medium
Snake plant,0,small,1,2,Amateur,High
Parlor ivy,0,small,1,2,Amateur,Medium
Bella palm,1,small,1,2,Experienced,High
Bamboo palm,1,medium,1,1,Experienced,High
Spineless yucca,0,big,0,0,Amateur,High
Giant Candelabra tree,0,very big,0,3,Experienced,Medium
Chinese hibiscus,1,big,0,0,Amateur,High
Fernleaf Philodendron,0,big,0,0,Amateur,Medium
Zz plant,0,medium,1,1,Amateur,Medium
Maindenhair,1,medium,1,1,Amateur,Medium
Baby rubber plant,1,small,1,2,Amateur,Medium
White bird of paradise,1,medium,1,1,Amateur,High
Burro-tail,1,small,1,2,Experienced,High
Lacy tree-philodendron,0,medium,1,1,Amateur,Medium
Elephant foot,1,medium,1,1,Experienced,High
Miniature fishtail,1,small,1,2,Experienced,High
Silver Lace Fern,1,small,1,2,Amateur,Medium
Bronze Anthurium,0,small,1,2,Amateur,Medium
Jade Plant,1,small,1,2,Experienced,Medium
Dragon-tree Agave,0,big,0,0,Amateur,Low
Pink quill,1,small,1,2,Amateur,High
Splitleaf Philodendron,0,medium,1,1,Amateur,Medium
Silver vase,1,medium,1,1,Amateur,High
African fern pine,1,big,0,0,Experienced,Medium
Indian kale,0,big,0,0,Amateur,Medium
Golden Barrel,1,big,0,0,Experienced,Medium
Parrot palm,1,big,0,0,Experienced,High
Stromante,1,medium,1,1,Amateur,Medium
Holly-fern,1,medium,1,1,Amateur,Low
Phrynium,1,medium,1,1,Amateur,Medium
Tree-Cereus,1,big,0,0,Experienced,Medium
Green prayer plant,1,small,1,2,Amateur,Medium
Spider plant,0,small,1,2,Amateur,High
Monster cactus,1,big,0,0,Experienced,Medium
Coral berry,1,medium,1,1,Amateur,Medium
Golden Trumpet,0,big,0,0,Experienced,High
Birdnest fern,1,medium,1,1,Amateur,Medium
Velvet Calathea,1,small,1,2,Amateur,Medium
Lilliput Agave,0,small,1,2,Amateur,Low
Thread Agave,0,small,1,2,Amateur,Low
Blue Agave,0,big,0,0,Amateur,Low
