family,categories,origin,climate,name,water_category,venomous,size,ind_apartment,soil,sunlight,water_category_code,size_code,soil_code,sunlight_code
Marantaceae,Hanging,Brazil,Tropical,Herringbone,weekly,0,small,1,Peat soils,Partial shade,2,2,1,2
Arecaceae,Palm,Mexico,Tropical,Bella palm,weekly,0,small,1,Sandy soils,Full sun,2,2,2,0
Araliaceae,Aralia,Asia,Tropical,Fabian Aralia,weekly,0,medium,1,Loamy soils,Partial shade,2,1,0,2
Liliaceae,Sansevieria,South Africa,Tropical,Snake plant,weekly,1,small,1,Loamy soils,Full sun,2,2,0,0
Araceae,Philodendron,Central America,Tropical,Parlor ivy,weekly,1,small,1,Silty and clay soils,Partial shade,2,2,3,2
Arecaceae,Palm,Mexico,Tropical,Bella palm,weekly,0,small,1,Sandy soils,Full sun,2,2,2,0
Arecaceae,Palm,Mexico,Tropical,Bamboo palm,weekly,0,medium,1,Sandy soils,Full sun,2,1,2,0
Liliaceae,Dracaena,Mexico,Subtropical,Spineless yucca,7-10 days,1,big,0,Loamy soils,Full sun,1,0,0,0
Euphorbiaceae,Cactus & Succulent,South Africa,Arid Tropical,Giant Candelabra tree,2-4 weeks,1,very big,0,Sandy soils,Full sun,0,3,2,0
Malvaceae,Flower,Asia,Tropical,Chinese hibiscus,weekly,0,big,0,Loamy soils,Full sun,2,0,0,0
Araceae,Philodendron,Venezuela,Tropical,Fernleaf Philodendron,weekly,1,big,0,Silty and clay soils,Partial shade,2,0,3,2
Araceae,Foliage plant,South Africa,Tropical,Zz plant,weekly,1,medium,1,Silty and clay soils,Partial shade,2,1,3,2
Polypodiaceae,Fern,Brazil,Tropical,Maindenhair,weekly,0,medium,1,Peat soils,Partial shade,2,1,1,2
Piperaceae,Other,Venezuela,Tropical,Baby rubber plant,weekly,0,small,1,Peat soils,Partial shade,2,2,1,2
Strelitziaceae,Foliage plant,South Africa,Subtropical,White bird of paradise,7-10 days,0,medium,1,Loamy soils,Full sun,1,1,0,0
Crasssulaceae,Hanging,Mexico,Arid Tropical,Burro-tail,7-10 days,0,small,1,,,1,2,4,4
Araceae,Philodendron,Brazil,Tropical,Lacy tree-philodendron,weekly,1,medium,1,Silty and clay soils,Partial shade,2,1,3,2
Agavaceae,Foliage plant,Mexico,Arid Tropical,Elephant foot,7-10 days,0,medium,1,Sandy soils,Full sun,1,1,2,0
